Region,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
Sidi-Bel Abbes Region Dataset,26,9,2014,29,86,14,11.1,77.9,17.4,59.5,10.2,24.0,16.1,not fire
Sidi-Bel Abbes Region Dataset,23,6,2012,28,78,34,14.4,49.3,16.8,3.9,12.4,33.1,16.5,not fire
Sidi-Bel Abbes Region Dataset,28,9,2014,24,91,29,4.6,71.5,16.8,72.2,4.4,5.9,18.7,not fire
Sidi-Bel Abbes Region Dataset,25,7,2012,25,73,11,19.9,80.7,18.1,68.2,0.2,14.4,10.9,not fire
Sidi-Bel Abbes Region Dataset,7,8,2014,39,86,24,19.5,89.9,20.3,53.4,11.1,19.9,4.0,not fire
Sidi-Bel Abbes Region Dataset,30,6,2012,21,70,9,13.0,41.4,24.1,47.5,12.5,46.0,12.3,not fire
Sidi-Bel Abbes Region Dataset,1,9,2013,43,27,5,4.0,53.0,8.1,71.4,11.1,49.7,14.9,not fire
Sidi-Bel Abbes Region Dataset,1,6,2012,32,53,34,13.6,35.7,24.8,14.8,2.1,2.2,14.8,not fire
Sidi-Bel Abbes Region Dataset,25,9,2014,25,54,21,1.4,94.5,14.9,6.3,11.3,38.1,10.4,not fire
Sidi-Bel Abbes Region Dataset,27,6,2012,24,51,7,0.6,89.9,2.3,19.2,11.5,18.6,1.4,not fire
Sidi-Bel Abbes Region Dataset,30,9,2012,44,65,17,5.2,62.8,1.8,63.6,9.9,19.6,7.4,not fire
Sidi-Bel Abbes Region Dataset,25,9,2012,20,35,18,9.3,83.9,10.0,2.8,11.5,37.7,18.4,not fire
Sidi-Bel Abbes Region Dataset,20,7,2013,40,87,28,17.4,61.5,23.5,46.6,12.7,45.9,11.7,not fire
Sidi-Bel Abbes Region Dataset,13,9,2012,41,56,34,14.5,68.7,21.2,79.6,9.2,47.5,10.8,not fire
Sidi-Bel Abbes Region Dataset,9,7,2013,40,73,22,14.9,31.2,23.7,68.5,1.3,28.9,5.4,not fire
Sidi-Bel Abbes Region Dataset,3,9,2013,25,33,8,8.5,77.9,15.5,41.7,7.3,17.9,7.4,not fire
Sidi-Bel Abbes Region Dataset,7,8,2012,25,74,22,6.9,33.9,13.2,5.1,1.2,39.4,17.9,not fire
Sidi-Bel Abbes Region Dataset,6,8,2012,42,67,34,7.4,82.8,4.4,66.5,6.1,12.6,13.3,not fire
Sidi-Bel Abbes Region Dataset,8,8,2012,35,26,9,19.8,79.7,9.8,47.9,6.1,28.2,15.7,not fire
Sidi-Bel Abbes Region Dataset,27,9,2014,23,93,29,0.8,74.6,13.0,9.2,1.0,17.9,9.1,not fire
Sidi-Bel Abbes Region Dataset,9,7,2012,30,26,20,17.3,27.5,2.7,7.5,5.2,32.8,12.6,not fire
Sidi-Bel Abbes Region Dataset,30,7,2013,43,52,5,11.6,46.2,6.6,72.8,1.7,12.0,5.0,not fire
Sidi-Bel Abbes Region Dataset,5,9,2012,42,42,25,8.8,43.4,17.9,53.5,12.1,9.6,14.1,not fire
Sidi-Bel Abbes Region Dataset,1,8,2014,28,38,18,14.5,50.2,22.1,66.3,14.2,45.9,8.6,not fire
Sidi-Bel Abbes Region Dataset,19,8,2012,42,38,19,9.7,31.1,30.0,70.3,1.1,5.1,8.9,not fire
Sidi-Bel Abbes Region Dataset,10,7,2014,22,55,13,17.5,90.6,28.0,45.7,14.3,25.3,13.0,not fire
Sidi-Bel Abbes Region Dataset,12,8,2014,38,48,19,18.0,63.8,19.3,41.4,7.8,11.0,18.7,not fire
Sidi-Bel Abbes Region Dataset,24,6,2012,27,79,21,8.4,46.4,12.6,34.4,4.5,1.9,1.3,not fire
Sidi-Bel Abbes Region Dataset,15,7,2013,24,21,29,5.5,52.8,19.1,25.4,1.2,1.8,16.5,not fire
Sidi-Bel Abbes Region Dataset,27,8,2014,23,20,28,11.8,56.3,23.6,34.8,7.5,8.8,5.8,not fire
Sidi-Bel Abbes Region Dataset,22,7,2012,43,66,8,18.2,67.0,3.6,61.9,11.9,43.3,8.9,not fire
Sidi-Bel Abbes Region Dataset,24,6,2012,25,88,16,4.2,61.1,12.3,48.2,10.6,14.1,0.4,not fire
Sidi-Bel Abbes Region Dataset,9,7,2013,21,39,31,12.5,89.4,25.2,71.4,0.8,47.5,6.0,not fire
Sidi-Bel Abbes Region Dataset,20,7,2014,39,30,30,12.6,59.8,11.5,35.5,1.1,29.1,10.1,not fire
Sidi-Bel Abbes Region Dataset,17,7,2014,30,21,9,14.7,94.5,17.2,48.6,6.0,21.8,1.1,not fire
Sidi-Bel Abbes Region Dataset,30,7,2012,23,86,33,2.6,84.6,17.6,50.5,4.4,29.0,9.8,not fire
Sidi-Bel Abbes Region Dataset,17,6,2012,34,31,9,14.3,39.6,5.5,47.3,3.5,25.8,18.5,not fire
Sidi-Bel Abbes Region Dataset,26,9,2013,25,39,15,18.2,90.1,10.9,56.2,4.2,37.9,2.1,not fire
Sidi-Bel Abbes Region Dataset,20,7,2013,41,24,32,3.6,33.1,10.0,19.0,12.1,14.1,15.3,not fire
Sidi-Bel Abbes Region Dataset,12,7,2014,36,56,10,4.8,82.2,0.8,41.0,13.9,17.7,8.2,not fire
Sidi-Bel Abbes Region Dataset,30,8,2014,43,57,11,19.4,51.6,0.7,8.3,6.1,44.7,13.1,not fire
Sidi-Bel Abbes Region Dataset,7,7,2012,25,28,28,3.6,86.5,25.0,30.8,13.6,47.3,5.2,not fire
Sidi-Bel Abbes Region Dataset,2,8,2014,38,72,18,17.1,85.8,8.2,39.0,4.8,44.6,3.2,not fire
Sidi-Bel Abbes Region Dataset,3,9,2013,44,63,28,9.8,81.4,15.5,52.2,7.1,21.0,3.2,not fire
Sidi-Bel Abbes Region Dataset,17,6,2013,21,43,15,4.9,80.3,9.0,76.0,3.4,39.0,1.4,not fire
Sidi-Bel Abbes Region Dataset,5,6,2012,34,93,34,17.4,46.3,28.2,48.1,9.6,23.8,3.7,not fire
Sidi-Bel Abbes Region Dataset,17,9,2013,30,49,17,8.9,30.7,7.8,59.5,14.7,24.9,13.3,not fire
Sidi-Bel Abbes Region Dataset,24,6,2013,27,78,6,10.3,53.2,12.9,40.5,9.1,10.2,17.6,not fire
Sidi-Bel Abbes Region Dataset,17,9,2013,38,33,29,7.2,37.1,26.2,50.7,5.4,29.6,16.3,not fire
Sidi-Bel Abbes Region Dataset,27,9,2013,32,28,11,11.9,73.6,25.3,5.7,9.7,9.3,13.7,not fire
Sidi-Bel Abbes Region Dataset,17,9,2012,31,59,24,3.3,49.2,5.6,20.4,1.8,16.6,2.2,not fire
Sidi-Bel Abbes Region Dataset,2,6,2012,24,85,8,7.8,93.3,24.1,28.9,13.3,42.8,5.8,not fire
Sidi-Bel Abbes Region Dataset,2,8,2014,25,44,31,19.4,69.9,13.7,37.8,7.5,10.4,6.2,not fire
Sidi-Bel Abbes Region Dataset,28,9,2013,41,92,12,5.2,82.6,14.5,3.7,6.7,3.6,5.0,not fire
Sidi-Bel Abbes Region Dataset,22,7,2014,23,41,24,13.1,34.3,4.0,11.2,8.8,3.5,10.3,not fire
Sidi-Bel Abbes Region Dataset,23,6,2012,38,23,33,6.5,85.3,2.4,22.1,9.4,47.0,10.7,not fire
Sidi-Bel Abbes Region Dataset,5,9,2012,39,45,26,15.5,89.6,21.8,77.7,1.1,25.3,7.1,not fire
Sidi-Bel Abbes Region Dataset,1,9,2012,20,77,25,2.6,59.1,14.9,26.5,10.2,20.5,7.1,not fire
Sidi-Bel Abbes Region Dataset,1,7,2012,39,48,23,19.4,67.4,13.1,38.6,3.6,40.5,16.6,not fire
Sidi-Bel Abbes Region Dataset,19,8,2012,36,56,17,9.1,78.5,21.9,15.7,10.7,41.8,15.8,not fire
Sidi-Bel Abbes Region Dataset,30,8,2012,31,94,18,4.7,37.2,23.0,48.9,12.3,16.6,6.2,not fire
Sidi-Bel Abbes Region Dataset,2,8,2012,34,89,14,1.5,60.2,4.8,22.5,12.1,34.7,18.3,not fire
Sidi-Bel Abbes Region Dataset,21,9,2013,20,37,15,3.4,52.9,18.3,16.6,8.3,38.6,19.1,not fire
Sidi-Bel Abbes Region Dataset,12,9,2014,33,61,6,10.4,35.2,4.1,41.3,7.8,32.7,6.5,not fire
Sidi-Bel Abbes Region Dataset,26,9,2012,25,60,29,6.7,50.7,22.5,0.4,2.1,7.6,7.1,not fire
Sidi-Bel Abbes Region Dataset,6,6,2013,24,57,30,16.6,29.8,19.7,0.6,11.6,43.8,10.1,not fire
Sidi-Bel Abbes Region Dataset,23,7,2013,30,53,13,8.6,26.8,28.7,17.5,4.1,27.0,18.8,not fire
